village_code,village_name,district_code,subdistrict_code,num_households,centre_lat,centre_lng
242473,Tikarampur,226,1356,1779,25.3943499,86.478172
242486,Harnathpur,226,1356,129,26.027535,84.3200184
242512,Harnathpur Barni,226,1356,1047,25.4049147,86.4870189
242524,Sikandrapur,226,1356,1668,26.0296226,83.7969085
242525,Sitalpur,226,1356,562,25.7681773,85.0336088
242530,Mirzapur Bardah,226,1356,1239,25.3820693,86.5533207
242537,Tarapur Diara,226,1356,602,25.3506583,86.5703554
242538,Taufir,226,1356,320,25.4216655,86.5703554
242540,Nauagarhi,226,1356,6725,25.3431656,86.5389358
242545,Bardah,226,1356,184,25.809785,82.8559854
242546,Kalyan Chak,226,1356,361,25.3656718,86.5321768
242547,Hasanpur,226,1356,295,28.7237807,78.2846303
242548,Khateb Chak,226,1356,213,25.3717589,86.5236537
242550,Dariapur,226,1356,308,23.0340575,72.5936793
242555,Bakarpur Inglish,226,1356,100,25.3579633,86.5189179
242556,Bakarpur,226,1356,381,30.5942278,76.8151508
242557,Kataria,226,1356,441,25.4218478,83.522346
242568,Mai,226,1356,756,31.336804,75.577017
242569,Shakarpur,226,1356,713,28.6279488,77.2786205
242570,Chak Ibrahim,226,1356,269,25.7114745,85.5077908
242574,Mahuli,226,1356,456,19.4838267,73.2588441
242583,Gobindpur,226,1356,105,22.6404534,86.0708016
242584,Shakarpur Lakheraj,226,1356,433,25.3745583,86.5012339
242587,Sajawalpur,226,1356,112,31.0946677,76.1856191
242592,Kasim Chak,226,1356,117,25.6707625,85.0467279
242594,Kasimpur,226,1356,123,27.9910617,78.1364889
242595,Sarmadpur,226,1356,256,25.3615917,86.5002863
242596,Sirmatpur,226,1356,142,25.3258751,87.3860345
242597,Salempur,226,1356,223,26.293939,83.9241376
242601,Keshopur,226,1356,397,28.6518338,77.0809093
242602,Jankinagar,226,1356,376,25.8880298,87.1952496
242603,Milki Chak,226,1356,248,25.3428288,86.5145522
242605,Kutlupur Diara,226,1356,2567,25.2858568,86.3134296
242608,Jafarnagar,226,1356,679,21.1862411,79.0659179
801357,Munger (M Corp.),226,1356,38921,25.1960506,86.5400674
242610,Karharia,226,1357,3612,25.2392388,86.6157527
242611,Katgala,226,1357,323,25.2412631,86.6396956
242612,Tulsipur,226,1357,238,27.5246311,82.4156829
242617,Bhatgawan,226,1357,527,26.2970432,81.650083
242621,Pipra,226,1357,252,26.1573297,86.7962965
242622,Binda Diara,226,1357,5950,25.3129977,86.5617541
242623,Nurpur,226,1357,1365,32.3001342,75.8853465
242625,Nirpur,226,1357,455,25.1331881,85.4195011
242627,Chuki Nirpur,226,1357,610,25.2704085,86.5873843
242630,Kumarpur Arazi,226,1357,459,25.2586847,86.5763477
242631,Bahadurpur,226,1357,342,23.6924569,87.1447831
242632,Mirza Chak,226,1357,171,21.9864287,88.0081769
242636,Mahdewa,226,1357,223,27.7183976,81.7759679
242638,Bariarpur,226,1357,3237,25.2885718,86.5728785
242640,Kazi Chak,226,1357,318,25.3918597,85.7641013
242641,Ratanpur,226,1357,728,22.2812175,82.1550451
242642,Gosain Chak,226,1357,102,25.0280126,87.0586792
242649,Kharag Sarhi,226,1357,155,25.2654055,86.5312299
242652,Chiraiabad,226,1357,359,25.2980198,86.533755
242654,Paria (CT),226,1357,927,25.2776043,86.5785552
242655,Itahri,226,1358,3169,25.6690228,86.653552
242657,Rampur Kalan,226,1358,1372,26.1806077,77.4644607
242659,Mahamda,226,1358,549,25.815314,84.7915999
242660,Rampur,226,1358,283,28.7893041,79.0249516
242661,Mahamda,226,1358,168,25.815314,84.7915999
242663,Samaspur,226,1358,283,29.4846675,77.3823258
242664,Mobarak Chak,226,1358,225,25.3625591,86.4942848
242665,Shutar Khana Gulalpur,226,1358,114,25.3640833,86.4961801
242672,Bagnaulakha,226,1358,170,25.347253,86.4882826
242674,Harpur,226,1358,210,26.8679091,84.6845216
242675,Gulalpur,226,1358,427,25.8805365,82.6240329
242680,Banaudhi,226,1358,429,25.3501145,86.5154448
242682,Chananpura,226,1358,300,23.04758,72.6114209
242685,Safiabad,226,1358,425,28.884016,77.0758733
242689,Bhagi Chak,226,1358,312,25.3333031,86.4927054
242691,Ramnager,226,1358,209,29.3947643,79.1264997
242694,Godai Chak,226,1358,165,25.3291635,86.5053397
242695,Godai Chak,226,1358,156,25.3291635,86.5053397
242698,Patam,226,1358,1807,25.3081704,86.5249164
242699,Parham,226,1358,973,27.3172093,78.6668214
242700,Sitarampur,226,1358,606,23.7233343,86.8947789
242701,Mohammadpur,226,1358,178,26.6190127,85.1835749
242702,Mohammadpur,226,1358,115,26.6190127,85.1835749
242705,Mohammadpur,226,1358,164,26.6190127,85.1835749
242709,Mohammadpur,226,1358,272,26.6190127,85.1835749
242728,Mohammadpur,226,1358,307,26.6190127,85.1835749
242736,Singhia,226,1358,1318,25.8412119,86.1605994
242741,Sagrampur,226,1358,328,21.0329253,76.6788091
242743,Hasanganj,226,1358,173,26.7742139,80.6361602
242744,Adampur,226,1358,169,31.4329486,75.713901
242745,Halimpur,226,1358,829,25.3350567,86.4731159
242746,Chak Mansingh,226,1358,209,25.3268442,86.4699556
242747,Indrukh,226,1358,1720,25.3286665,86.4737369
242748,Gauripur,226,1358,502,26.0916341,89.9655224
801358,Jamalpur (Nagar Parishad),226,1358,20372,25.3170326,86.4963456
242750,Ramchandarpur,226,1359,223,23.9289756,83.4910242
242752,Gobindpur,226,1359,542,22.6404534,86.0708016
242754,Bokhra,226,1359,108,26.357031,85.6666046
242755,Adampur,226,1359,106,31.4329486,75.713901
242756,Sarobag,226,1359,487,25.2729733,86.475644
242757,Khirodharpur,226,1359,170,22.6765454,85.6254997
242758,Paharpur,226,1359,334,24.6174342,85.207537
242759,Matadih,226,1359,686,25.2823207,86.4853486
242760,Bikrampur,226,1359,150,25.6039839,86.0580585
242761,Dariapur,226,1359,251,23.0340575,72.5936793
242762,Dasrathpur,226,1359,503,25.2626448,86.476908
242763,Itwa,226,1359,1240,27.3315831,82.6970614
242765,Lohchi,226,1359,218,25.269238,86.5369113
242766,Kudratabad,226,1359,200,25.2482704,86.4636344
242768,Pachrukhi,226,1359,665,26.1615001,84.4139838
242776,Baurna,226,1359,137,25.2251357,86.4554156
242778,Tetraun,226,1359,144,24.3270774,85.7576925
242779,Sawaia,226,1359,153,25.2158391,87.4442952
242780,Gopali Chak,226,1359,124,25.2248937,86.4452983
242781,Marpa Kalan,226,1359,207,25.2323237,86.4465631
242783,Amari,226,1359,875,20.593684,78.96288
242795,Mohanpur,226,1359,540,28.2498244,80.2502535
242796,Harpur Inglish,226,1359,112,25.241289,86.4193635
242798,Dharhara Kasba,226,1359,2409,25.2431874,86.4060746
242801,Mahganwan,226,1359,424,27.0799819,79.2056361
242813,Jatkuta,226,1359,233,25.2033827,86.4124031
242817,Tola Belokhar,226,1359,136,25.2451264,86.4870189
242820,Tola Barhmasia,226,1359,104,25.2332869,86.4870189
242821,Tola Lakarkola,226,1359,131,25.2224169,86.4655308
242824,Tola Karaili,226,1359,165,25.1970453,86.4566801
242826,Tola Saradhi,226,1359,236,25.201153,86.4427687
242827,Tola Bagalwa,226,1359,1305,25.2068912,86.435179
242828,Tola Mankothia,226,1359,168,25.224041,86.4098718
242832,Tola Sakhol,226,1359,229,25.1900317,86.4111374
242833,Tola Goraia,226,1359,201,25.1912974,86.4022771
242843,Bhikhakita,226,1359,312,25.2119563,86.3997453
242846,Azamganj,226,1359,244,24.2351094,88.2607188
242850,Birojpur,226,1359,203,30.9331348,74.6224755
242852,Husenpur,226,1359,260,26.0786643,83.9823627
242854,Kumarpur,226,1359,207,23.6959678,86.9386238
242857,Khajuria,226,1359,151,27.4445152,82.8034614
242869,Gobindpur,226,1359,578,22.6404534,86.0708016
242874,Mangarh,226,1359,1253,25.771869,81.4965439
242876,Khushalpur,226,1359,471,21.3544172,78.4973921
242877,Ora Bagicha,226,1359,868,25.2540658,86.4275882
242883,Lakrapatal,226,1359,156,25.2589741,86.4317
242888,Adalpur,226,1359,450,25.7054956,85.2094744
242909,Bhalar,226,1359,373,25.2637332,86.4604735
242914,Sibkund,226,1359,1411,25.2902921,86.3959473
242916,Lagma,226,1359,347,25.7478322,86.6749587
242928,Hemzapur,226,1359,990,25.4676642,85.3846611
242929,Sundarpur,226,1359,484,20.3633505,85.7894082
242931,Baha Chauki,226,1359,812,25.2974535,86.3560515
242936,Sagrampur,226,1360,171,21.0329253,76.6788091
242937,Danagra Chak,226,1360,118,25.2716786,86.5463789
242939,Parsotimpur,226,1360,317,25.4782976,84.9654987
242940,Dagri,226,1360,401,25.2579278,86.5596305
242945,Paharpur,226,1360,458,24.6174342,85.207537
242946,Teliadih,226,1360,535,27.2942588,82.7792057
242947,Lohchi,226,1360,460,25.269238,86.5369113
242948,Bikrampur,226,1360,302,25.6039839,86.0580585
242949,Burhtetra,226,1360,229,25.2427822,86.5766631
242950,Bindraban,226,1360,228,32.3054022,75.931808
242951,Bahira,226,1360,936,22.4467793,88.0892286
242952,Manpur,226,1360,107,24.8054345,85.0265856
242953,Agarhan,226,1360,860,25.2120774,86.5930592
242954,Karharia,226,1360,276,25.2392388,86.6157527
242955,Bhadaura,226,1360,524,25.4541185,83.7398352
242958,Galimpur,226,1360,154,25.210162,86.5741401
242959,Naki,226,1360,541,25.2487604,86.5791859
242960,Lachhmipur,226,1360,128,26.6158818,84.8620054
242963,Murheri,226,1360,936,25.5044708,77.6163803
242966,Khiridih,226,1360,412,25.1637747,86.6170131
242968,Majhgain,226,1360,194,25.0401339,86.6497733
242971,Gaura,226,1360,512,31.4116814,75.3426754
242972,Gonai,226,1360,266,25.1757898,86.6245751
242974,Kaurian,226,1360,298,25.1844426,86.6144922
242975,Sadobh,226,1360,231,25.1785786,86.6170131
242976,Kendua Kishunpur,226,1360,307,25.1753305,86.6044073
242978,Nisahara,226,1360,115,25.1920011,86.7542081
242979,Lohra Lachhmipur,226,1360,459,25.1827034,86.6031465
242980,Barhouna,226,1360,663,25.1892927,86.5999945
242982,Dhapri,226,1360,588,25.1859851,86.5848618
242984,Bagesri,226,1360,498,25.2015133,86.5842312
242985,Shampur,226,1360,101,31.077389,75.6564478
242986,Madanpur,226,1360,263,23.0089428,88.4912395
242987,Gopalpur,226,1360,328,19.2647208,84.8620054
242988,Shampur,226,1360,143,31.077389,75.6564478
242993,Ghorakhar,226,1360,155,25.1920496,86.5589995
242995,Gobadda,226,1360,1061,25.1821248,86.5779245
242996,Mandare,226,1360,227,16.6027774,74.0783786
242998,Sibpur Laugain,226,1360,671,25.1716172,86.571617
242999,Larui,226,1360,234,25.2016057,84.2054815
243000,Baijalpur,226,1360,723,29.4917973,75.7066187
243003,Khanrbihari,226,1360,648,26.685918,84.4566458
243004,Sasan,226,1360,199,23.9992442,82.6240329
243005,Baukhra,226,1360,154,25.1533302,86.581078
243006,Parsando,226,1360,884,25.1521684,86.5627851
243009,Mozaffarganj,226,1360,842,25.147611,86.5899066
243010,Rataitha,226,1360,1063,25.1407896,86.5829699
243011,Ratmi,226,1360,365,25.1290612,86.5880148
243013,Barui,226,1360,565,25.1516113,85.8985046
243014,Maha Kala,226,1360,331,25.1098423,86.589276
243016,Kaithi,226,1360,243,25.4923305,83.15887
243017,Pakari,226,1360,139,25.5564836,84.6505281
243018,Kathna,226,1360,379,28.6840566,78.4396682
243019,Khaira,226,1360,706,30.8180777,76.098651
243021,Teghra,226,1360,244,25.4857289,85.9483381
243022,Dariyapur,226,1360,802,23.0340575,72.5936793
243023,Raunakabad,226,1360,3451,25.1175303,86.47438
243024,Murade,226,1360,973,25.0940806,86.4844914
243025,Khoja Chak,226,1360,345,25.0902624,86.511024
243026,Matsumbha,226,1360,351,25.0799272,86.5122871
243029,Bosdeopur,226,1360,109,25.0663936,86.5034447
243031,Mohanpur,226,1360,308,28.2498244,80.2502535
243032,Raipura,226,1360,263,23.8919915,79.9584397
243034,Majhgain,226,1360,769,25.0401339,86.6497733
243035,Amdaha Kalan,226,1360,112,25.0749853,86.5384894
243038,Tola Banhara,226,1360,468,25.0701514,86.47438
243039,Mahuli,226,1360,330,19.4838267,73.2588441
243040,Kathaum,226,1360,282,25.0464869,86.538805
243041,Dariapur,226,1360,955,23.0340575,72.5936793
243042,Islampur,226,1360,320,26.2546438,88.1974148
243045,Danrihar,226,1360,174,25.043173,86.5236537
243046,Jagdispur,226,1360,138,25.468313,84.4225186
243047,Laurhia,226,1360,161,25.0371906,86.521128
243048,Gangta,226,1360,938,25.0113941,86.4946007
243049,Gaighat,226,1360,265,25.8344511,86.0057789
243050,Bhimband,226,1360,108,25.0687033,86.4136687
801359,Kharagpur (NP),226,1360,5978,22.34601,87.2319753
243056,Dholpahari Milik,226,1361,148,25.2031196,86.6548114
243058,Chorgaon,226,1361,855,21.1088018,75.4199054
243060,Lagma,226,1361,254,25.7478322,86.6749587
243061,Kharbhatua,226,1361,274,25.1838469,86.653552
243064,Jorari,226,1361,863,25.159933,86.643475
243065,Mirzapur,226,1361,200,25.1336987,82.5644344
243066,Berain,226,1361,228,25.2310032,84.47239
243069,Badarkha,226,1361,195,22.8404577,72.4508301
243070,Dhuria,226,1361,271,26.705963,83.9400227
243071,Pansain,226,1361,296,25.1652504,86.6825118
243072,Adras,226,1361,283,25.1726808,86.6837705
243073,Mamai,226,1361,509,25.1858078,86.6749587
243074,Sajua,226,1361,726,22.3970572,88.2205557
243081,Korian,226,1361,699,25.1908938,86.7039059
243084,Masudanpur,226,1361,164,25.3619456,86.3617528
243085,Kamrain,226,1361,244,25.183798,86.7177441
243088,Madhopur,226,1361,132,32.3652894,75.5972867
243094,Sadpur,226,1361,344,22.8562156,88.7373713
243096,Masumganj,226,1361,317,25.1743713,86.7098819
243098,Simpur,226,1361,196,25.1480269,86.7237185
243099,Chapha,226,1361,145,26.6673422,83.4336719
243103,Rahmatpur,226,1361,861,26.8299365,80.0548894
243106,Bikrampur,226,1361,407,25.6039839,86.0580585
243107,Jalalabad,226,1361,498,30.6049809,74.2557874
243108,Saraun,226,1361,175,25.1502765,86.6749587
243109,Makwa,226,1361,576,25.1559166,86.6623676
243111,Jorari Milk,226,1361,226,25.1469769,86.659849
243112,Bangaon,226,1361,224,23.0440381,88.827703
243113,Kharwa,226,1361,270,26.1957033,74.4379073
243114,Dulhar,226,1361,317,25.1820539,86.6396956
243116,Belsara,226,1361,124,25.2451434,81.8470251
243117,Gorha,226,1361,206,27.8473601,78.6849007
243118,Sagrampur,226,1361,236,25.1209945,86.8257994
243119,Baijalpur,226,1361,414,29.4917973,75.7066187
243120,Khand Chak,226,1361,157,25.1879183,86.6371758
243121,Mangarba,226,1361,232,25.1751921,86.6357754
243123,Asarganj (CT),226,1361,1224,25.1475962,86.6875465
243130,Teghra Jagirdari,226,1362,256,25.1220898,86.7057931
243134,Manikpur,226,1362,2520,25.0698727,81.1030573
243135,Muskipur,226,1362,416,25.1388426,86.6437899
243138,Sanrhi,226,1362,386,27.1805806,78.451038
243141,Khaira,226,1362,472,30.8180777,76.098651
243144,Degaon,226,1362,176,20.0505155,76.8173138
243145,Bhagalpura,226,1362,207,25.1760846,86.7372369
243146,Mohammadpur,226,1362,347,26.6190127,85.1835749
243147,Rampur Bisai,226,1362,1224,25.1329057,86.6494851
243151,Madhura,226,1362,328,27.4924134,77.673673
243152,Gorgawan,226,1362,111,25.5653878,85.029842
243153,Sondiha,226,1362,498,25.4046683,86.7340934
243154,Rajgur,226,1362,475,25.0998213,86.6699226
243155,Khanpur,226,1362,483,28.5333095,78.0637667
243156,Rangaon,226,1362,445,19.3699608,72.7762099
243157,Dhobai,226,1362,919,25.1076461,86.6888051
243160,Bihma,226,1362,426,25.0789772,86.6648861
243161,Dhauni,226,1362,352,25.0908239,86.6648861
243163,Deogaon,226,1362,198,21.1624944,86.046587
243164,Khanpur,226,1362,100,28.5333095,78.0637667
243165,Dhanpura,226,1362,243,29.8467403,78.110115
243167,Rasulpur,226,1362,133,23.1840099,88.0301946
243168,Siswa,226,1362,259,27.0958442,83.5083531
243169,Mahpur,226,1362,255,25.6030699,83.2439094
243171,Maheshpur,226,1362,282,24.4809986,87.759112
243173,Parbhara,226,1362,533,25.1125543,86.643475
243177,Launa,226,1362,750,27.3510059,81.0174917
243178,Satahara,226,1362,111,25.8335104,82.7117829
243181,Kalayanpur,226,1362,179,26.5035838,80.2488596
243182,Parsa,226,1362,454,25.6698421,83.7862942
243183,Khudia,226,1362,139,22.1051493,77.070837
243185,Afzalnagar,226,1362,594,17.381214,78.5078677
243188,Daulataganj,226,1362,179,25.0842211,86.634656
243189,Shahpur,226,1362,275,19.4559236,73.3296037
243190,Belbihma,226,1362,312,25.072488,86.6396956
243191,Harpur,226,1362,314,26.8679091,84.6845216
243194,Gonaili,226,1362,541,25.0608676,86.6497733
