village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
242473,0.935,0.0,0.003,0.001,0.001,0.001,0.053,0.001,0.006,0.003,0.99,0.001,0.003,0.002,0.0,0.007,0.002,0.011,0.001,0.978,0.0,0.0,0.002,0.0,0.0
242486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.992,0.0,0.0,0.0,0.0,0.0
242498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
242512,0.936,0.0,0.006,0.0,0.013,0.002,0.017,0.026,0.001,0.001,0.987,0.011,0.0,0.001,0.0,0.028,0.016,0.009,0.0,0.784,0.0,0.0,0.001,0.0,0.162
242523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.833,0.0,0.0,0.0,0.0
242524,0.397,0.054,0.192,0.001,0.024,0.026,0.009,0.292,0.006,0.142,0.847,0.007,0.0,0.0,0.004,0.075,0.059,0.017,0.081,0.745,0.019,0.0,0.0,0.001,0.003
242525,0.01,0.0,0.216,0.002,0.0,0.005,0.007,0.761,0.0,0.786,0.196,0.0,0.0,0.016,0.002,0.028,0.007,0.0,0.234,0.712,0.018,0.002,0.0,0.0,0.0
242526,0.051,0.077,0.308,0.0,0.0,0.0,0.0,0.564,0.0,0.821,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.949,0.0,0.0,0.0,0.0,0.0,0.0
242527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.023,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
242530,0.031,0.009,0.191,0.001,0.0,0.009,0.003,0.755,0.002,0.458,0.532,0.004,0.0,0.005,0.001,0.012,0.006,0.022,0.087,0.82,0.001,0.0,0.051,0.001,0.001
242537,0.372,0.005,0.236,0.026,0.021,0.0,0.0,0.324,0.015,0.16,0.831,0.008,0.0,0.0,0.0,0.0,0.0,0.002,0.079,0.906,0.0,0.0,0.013,0.0,0.0
242538,0.989,0.004,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.007,0.948,0.044,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.948,0.0,0.0,0.0,0.0,0.0
242540,0.216,0.007,0.223,0.007,0.009,0.015,0.007,0.49,0.025,0.297,0.656,0.002,0.026,0.018,0.0,0.057,0.027,0.007,0.134,0.729,0.002,0.0,0.001,0.011,0.031
