village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
147351,0.2827806,0.011615037,0.13054937,0.011615037,0.049804337,0.39766294,0.011615037,0.09274268,0.011615037,0.003231786,0.003231786,0.003231786,0.797096,0.18997684,0.003231786,0.0012439464,0.13586083,0.06828685,0.0012439464,0.76895934,0.0012439464,0.0012439464,0.0012439464,0.0012439464,0.01942938
143645,0.24616563,0.012038216,0.15555273,0.012038216,0.083843485,0.3510227,0.012038216,0.11526271,0.012038216,1.2889012e-05,1.2889012e-05,1.2889012e-05,0.81601816,0.18393032,1.2889012e-05,0.0012831041,0.13608839,0.068924785,0.0012831041,0.7667309,0.0012831041,0.0012831041,0.0012831041,0.0012831041,0.020557396
167240,0.24246058,0.011961095,0.15415749,0.011961095,0.091117874,0.3436176,0.011961095,0.12080202,0.011961095,0.00023692388,0.00023692388,0.00023692388,0.8125315,0.18652086,0.00023692388,0.0012364873,0.13572401,0.06850255,0.0012364873,0.76859534,0.0012364873,0.0012364873,0.0012364873,0.0012364873,0.019759275
122907,0.21550864,0.013756309,0.21235971,0.013756309,0.15074201,0.23653322,0.013756309,0.1298313,0.013756309,6.5110953e-06,6.5110953e-06,6.5110953e-06,0.80634934,0.19362462,6.5110953e-06,0.0012311807,0.13734527,0.06584772,0.0012311807,0.77323794,0.0012311807,0.0012311807,0.0012311807,0.0012311807,0.016181858
122913,0.20988035,0.014944055,0.26264378,0.014944055,0.13808562,0.23344794,0.014944055,0.09616615,0.014944055,0.003409628,0.003409628,0.003409628,0.6944804,0.29188108,0.003409628,0.0010707566,0.13496196,0.065370165,0.0010707566,0.7779056,0.0010707566,0.0010707566,0.0010707566,0.0010707566,0.015337592
122912,0.2189233,0.013250668,0.19942048,0.013250668,0.14947125,0.24462005,0.013250668,0.13456221,0.013250668,1.3724637e-05,1.3724637e-05,1.3724637e-05,0.80941135,0.19053374,1.3724637e-05,0.0010693702,0.13546963,0.06528789,0.0010693702,0.7778328,0.0010693702,0.0010693702,0.0010693702,0.0010693702,0.014993323
147344,0.2511696,0.013517259,0.22108375,0.013517259,0.060531635,0.3392004,0.013517259,0.07394552,0.013517259,0.003508027,0.003508027,0.003508027,0.8008273,0.18514057,0.003508027,0.0011718533,0.13586296,0.0673471,0.0011718533,0.7720713,0.0011718533,0.0011718533,0.0011718533,0.0011718533,0.017687606
147352,0.25219283,0.013079221,0.20339249,0.013079221,0.06322879,0.34768745,0.013079221,0.08118157,0.013079221,0.0035967836,0.0035967836,0.0035967836,0.79049367,0.19511911,0.0035967836,0.001171278,0.13571769,0.067249455,0.001171278,0.7724363,0.001171278,0.001171278,0.001171278,0.001171278,0.01756888
167243,0.25184742,0.011739443,0.13863662,0.011739443,0.08052169,0.36096498,0.011739443,0.12107148,0.011739443,0.00012063231,0.00012063231,0.00012063231,0.818712,0.18080556,0.00012063231,0.0012411064,0.135834,0.06836718,0.0012411064,0.7688452,0.0012411064,0.0012411064,0.0012411064,0.0012411064,0.019507041
122938,0.2243773,0.012911199,0.21398783,0.012911199,0.12514274,0.27568462,0.012911199,0.10916268,0.012911199,1.7072447e-05,1.7072447e-05,1.7072447e-05,0.79289275,0.20703894,1.7072447e-05,0.0011735403,0.13580848,0.067388564,0.0011735403,0.7719071,0.0011735403,0.0011735403,0.0011735403,0.0011735403,0.017854694
122905,0.22120482,0.012943664,0.18918657,0.012943664,0.15732965,0.23996492,0.012943664,0.1405394,0.012943664,1.12019725e-05,1.12019725e-05,1.12019725e-05,0.81166106,0.18829411,1.12019725e-05,0.001226377,0.13726221,0.06624788,0.001226377,0.77259237,0.001226377,0.001226377,0.001226377,0.001226377,0.016539162
